ReviewId,OwnerId,CreatedOn,Project
38673,1010669,30-06-2012 07:18,platform/sdk
38674,1004689,01-07-2012 02:30,platform/sdk
38675,1001100,02-07-2012 04:25,platform/sdk
38676,1010055,02-07-2012 23:36,platform/sdk
38677,1010186,02-07-2012 23:49,platform/ndk
38678,1006497,03-07-2012 21:11,platform/sdk
38679,1001414,03-07-2012 21:46,platform/sdk
38683,1013433,03-07-2012 02:02,platform/build
38701,1012990,03-07-2012 15:07,platform/libcore
38715,1010440,30-06-2012 01:08,kernel/common
38722,1004689,02-07-2012 15:57,platform/sdk
38723,1004689,02-07-2012 16:04,platform/sdk
38724,1010055,02-07-2012 17:32,platform/sdk
38725,1010055,02-07-2012 17:32,platform/sdk
38726,1010055,02-07-2012 17:32,platform/sdk
38727,1010925,02-07-2012 17:34,platform/sdk
38728,1004689,02-07-2012 19:25,platform/sdk
38729,1001100,02-07-2012 19:51,platform/sdk
38730,1013768,30-06-2012 01:54,platform/packages/inputmethods/LatinIME
38731,1012093,01-07-2012 17:36,toolchain/gdb
38740,1012093,01-07-2012 10:44,toolchain/gdb
38741,1012093,01-07-2012 12:26,toolchain/gdb
38742,1002951,02-07-2012 12:52,platform/frameworks/base
38743,1002951,02-07-2012 13:00,platform/frameworks/media/libvideoeditor
38744,1002951,02-07-2012 14:00,platform/dalvik
38750,1010537,02-07-2012 02:23,platform/sdk
38760,1001100,02-07-2012 04:38,platform/sdk
38761,1004689,02-07-2012 19:16,platform/sdk
38762,1001100,02-07-2012 20:51,platform/sdk
38763,1001100,02-07-2012 20:52,platform/sdk
38764,1001414,02-07-2012 22:20,platform/sdk
38765,1001414,02-07-2012 22:20,platform/sdk
38766,1001414,02-07-2012 22:20,platform/sdk
38767,1001414,02-07-2012 22:20,platform/sdk
38768,1001414,02-07-2012 22:20,platform/sdk
38769,1001100,02-07-2012 23:33,platform/sdk
38770,1004424,02-07-2012 13:33,platform/bionic
38771,1002951,02-07-2012 14:12,platform/dalvik
38780,1001100,02-07-2012 19:51,platform/sdk
38781,1004689,02-07-2012 20:01,platform/sdk
38782,1004689,02-07-2012 22:14,platform/sdk
38783,1001100,02-07-2012 23:31,platform/sdk
38784,1010186,02-07-2012 23:49,platform/ndk
38785,1010186,02-07-2012 23:49,platform/ndk
38786,1010440,03-07-2012 17:31,kernel/common
38787,1006497,03-07-2012 21:11,platform/sdk
38788,1010186,03-07-2012 21:34,platform/ndk
38789,1004689,03-07-2012 21:47,platform/external/eclipse-windowbuilder
38790,1001100,02-07-2012 23:33,platform/sdk
38791,1010055,02-07-2012 23:46,platform/sdk
38792,1004689,03-07-2012 21:20,platform/sdk
38793,1001414,03-07-2012 21:56,platform/sdk
38794,1001414,03-07-2012 21:56,platform/sdk
38800,1013793,03-07-2012 09:14,platform/sdk
38801,1013793,03-07-2012 09:47,platform/sdk
38810,1004689,03-07-2012 22:01,platform/sdk
38820,1010186,03-07-2012 22:06,platform/ndk
38821,1010186,04-07-2012 00:02,platform/ndk
38830,1004689,04-07-2012 04:07,platform/sdk
38831,1004689,04-07-2012 04:07,platform/sdk
38832,1005135,04-07-2012 13:49,platform/frameworks/base
38833,1011499,06-07-2012 08:19,platform/frameworks/base
38834,1010199,07-07-2012 06:17,platform/frameworks/base
38835,1004689,08-07-2012 15:59,platform/sdk
38836,1002751,10-07-2012 20:04,platform/system/core
38837,1002751,10-07-2012 20:04,platform/system/core
38838,1002751,10-07-2012 20:04,platform/system/core
38839,1002751,10-07-2012 20:04,platform/system/core
38840,1013373,04-07-2012 07:34,platform/external/jpeg
38842,1005142,10-07-2012 02:37,platform/packages/apps/Gallery2
38850,1000411,04-07-2012 09:52,platform/ndk
38851,1002068,12-07-2012 14:07,platform/external/aac
38852,1000411,12-07-2012 16:54,platform/external/v8
38860,1014899,04-07-2012 10:04,platform/bionic
38861,1002372,08-07-2012 03:41,platform/frameworks/base
38862,1013948,10-07-2012 08:05,platform/cts
38863,1002068,12-07-2012 14:00,platform/frameworks/native
38871,1013762,10-07-2012 07:24,platform/bionic
38872,1013762,10-07-2012 07:24,platform/bionic
38873,1013762,10-07-2012 07:24,platform/bionic
38874,1000411,11-07-2012 16:12,platform/external/chromium
38875,1000411,12-07-2012 17:08,platform/bionic
38881,1010669,06-07-2012 21:01,platform/ndk
38882,1001414,09-07-2012 19:45,platform/sdk
38883,1001414,09-07-2012 20:04,platform/sdk
38884,1003224,09-07-2012 20:29,platform/libcore
38885,1010672,09-07-2012 23:21,platform/sdk
38886,1010055,10-07-2012 01:16,platform/sdk
38887,1003966,10-07-2012 16:21,platform/cts
38888,1001414,11-07-2012 02:27,platform/sdk
38889,1001414,11-07-2012 02:31,platform/sdk
38890,1011568,04-07-2012 17:17,platform/packages/apps/Gallery2
38891,1002068,12-07-2012 15:18,platform/frameworks/av
38892,1002068,12-07-2012 15:18,platform/frameworks/av
38893,1002068,12-07-2012 15:19,platform/frameworks/av
38894,1002068,12-07-2012 15:19,platform/frameworks/av
38895,1002068,12-07-2012 19:01,platform/frameworks/av
38896,1002068,12-07-2012 19:01,platform/frameworks/av
38900,1002951,05-07-2012 11:25,platform/cts
38901,1013164,10-07-2012 03:02,platform/cts
38902,1000411,10-07-2012 13:55,platform/system/core
38903,1000411,10-07-2012 14:09,platform/bionic
38904,1002068,12-07-2012 15:20,platform/frameworks/av
38905,1002068,12-07-2012 18:59,platform/frameworks/av
38906,1002068,12-07-2012 19:10,platform/frameworks/av
38907,1002068,12-07-2012 19:10,platform/frameworks/av
38908,1002068,12-07-2012 19:14,platform/frameworks/av
38909,1002068,12-07-2012 19:14,platform/frameworks/av
38910,1013157,05-07-2012 12:29,platform/frameworks/base
38920,1013157,05-07-2012 13:16,platform/frameworks/base
38921,1013157,10-07-2012 17:01,platform/frameworks/base
38922,1013157,11-07-2012 12:10,platform/system/extras
38923,1019010,11-07-2012 17:57,platform/frameworks/base
38924,1004816,12-07-2012 13:20,kernel/omap
38930,1013157,05-07-2012 14:52,platform/build
38931,1001703,09-07-2012 17:55,platform/external/wpa_supplicant_8
38932,1019010,12-07-2012 03:58,platform/dalvik
38940,1010669,06-07-2012 20:29,platform/external/stlport
38941,1000428,06-07-2012 21:02,platform/dalvik
38942,1003224,09-07-2012 18:05,platform/libcore
38943,1002751,10-07-2012 21:50,platform/system/extras
38944,1001414,10-07-2012 23:25,platform/sdk
38945,1001414,10-07-2012 23:25,platform/sdk
38946,1001414,10-07-2012 23:58,platform/sdk
38947,1010186,11-07-2012 05:11,platform/bionic
38948,1003224,11-07-2012 22:26,platform/libcore
38949,1013987,11-07-2012 22:27,platform/frameworks/compile/libbcc
38950,1012042,10-07-2012 05:09,platform/bionic
38951,1012042,10-07-2012 05:09,platform/bionic
38953,1000297,10-07-2012 17:02,platform/external/v8
38954,1010188,11-07-2012 08:15,platform/frameworks/av
38955,1004424,11-07-2012 13:52,platform/frameworks/av
38960,1012042,10-07-2012 05:15,platform/system/core
38961,1004424,10-07-2012 12:24,platform/frameworks/native
38962,1004424,11-07-2012 06:13,platform/packages/apps/Music
38963,1013991,13-07-2012 01:53,platform/frameworks/base
38970,1004424,10-07-2012 11:48,platform/frameworks/av
38973,1012042,11-07-2012 02:53,platform/external/kernel-headers
38974,1010188,11-07-2012 08:16,platform/frameworks/base
38975,1004424,11-07-2012 09:06,platform/frameworks/base
38977,1004424,11-07-2012 12:30,platform/frameworks/av
38978,1005840,12-07-2012 08:30,platform/cts
38980,1000411,10-07-2012 14:02,platform/external/v8
38981,1013964,10-07-2012 14:40,platform/docs/source.android.com
38982,1013856,10-07-2012 19:50,kernel/omap
38983,1002068,12-07-2012 18:40,platform/frameworks/av
38984,1002068,12-07-2012 18:47,platform/frameworks/av
38985,1002068,12-07-2012 19:06,platform/frameworks/av
38986,1002068,12-07-2012 19:07,platform/frameworks/av
38987,1002068,12-07-2012 19:07,platform/frameworks/av
38988,1002068,12-07-2012 19:14,platform/frameworks/av
38990,1013157,10-07-2012 17:03,platform/build
38991,1013433,10-07-2012 22:47,platform/external/strace
38992,1004816,12-07-2012 13:36,platform/frameworks/native
38993,1004816,12-07-2012 13:40,device/ti/panda
38994,1004816,12-07-2012 13:40,device/ti/panda
39000,1002751,10-07-2012 20:04,platform/system/core
39001,1002751,10-07-2012 20:04,platform/system/core
39002,1002751,10-07-2012 20:04,platform/system/core
39003,1002751,10-07-2012 20:04,platform/system/core
39004,1002751,10-07-2012 20:04,platform/system/core
39005,1002751,10-07-2012 20:05,platform/system/core
39006,1002751,10-07-2012 20:05,platform/system/core
39007,1002751,10-07-2012 20:05,platform/system/core
39008,1002751,10-07-2012 20:05,platform/system/core
39009,1002751,10-07-2012 20:05,platform/system/core
39010,1002751,10-07-2012 20:05,platform/system/core
39011,1002751,10-07-2012 20:05,platform/system/core
39012,1001414,10-07-2012 23:32,platform/sdk
39013,1001414,11-07-2012 01:54,platform/sdk
39014,1014008,11-07-2012 22:54,platform/packages/providers/ContactsProvider
39015,1010672,11-07-2012 23:51,platform/sdk
39016,1001414,12-07-2012 19:39,platform/sdk
39017,1003224,12-07-2012 20:54,platform/libcore
39018,1010199,12-07-2012 23:27,platform/frameworks/support
39020,1006497,11-07-2012 17:33,platform/sdk
39021,1013987,11-07-2012 21:41,platform/frameworks/base
39022,1011333,11-07-2012 22:38,platform/bootable/recovery
39023,1011333,11-07-2012 22:43,platform/system/core
39024,1013987,11-07-2012 22:55,platform/frameworks/compile/libbcc
39025,1014008,11-07-2012 22:58,platform/packages/providers/ContactsProvider
39026,1003224,11-07-2012 23:00,platform/system/bluetooth
39027,1013987,11-07-2012 23:43,platform/frameworks/compile/libbcc
39028,1003966,12-07-2012 00:48,platform/bionic
39030,1013987,11-07-2012 22:33,platform/frameworks/compile/libbcc
39031,1010055,11-07-2012 23:35,platform/prebuilts/eclipse
39032,1013987,11-07-2012 23:43,platform/frameworks/compile/libbcc
39033,1010672,11-07-2012 23:51,platform/external/qemu
